Name,Name_rus,Population
Aeroport (Аэропорт)74775
Begovoy (Беговой)44385
Beskudnikovsky (Бескудниковский)74790
Dmitrovsky (Дмитровский)88931
Golovinsky (Головинский)102160
Khoroshyovsky (Хорошёвский)55949
Khovrino (Ховрино)79092
Koptevo (Коптево)97989
Levoberezhny (Левобережный)51309
Savyolovsky (Савёловский)57814
Sokol (Сокол)57317
Timiryazevsky (Тимирязевский)84098
Vostochnoye Degunino (Восточное Дегунино)97083
Voykovsky (Войковский)67470
Zapadnoye Degunino (Западное Дегунино)76756
Arbat (Арбат)25699
Basmanny (Басманный)100899
Khamovniki (Хамовники)97110
Krasnoselsky (Красносельский)45229
Meshchansky (Мещанский)56077
Presnensky (Пресненский)116979
Tagansky (Таганский)109993
Tverskoy (Тверской)75955
Yakimanka (Якиманка)22822
Zamoskvorechye (Замоскворечье)5059
Alexeyevsky (Алексеевский) 73429
Altufyevsky (Алтуфьевский) 50091
Babushkinsky (Бабушкинский) 77491
Bibirevo (Бибирево) 151334
Butyrsky (Бутырский) 60922
Lianozovo (Лианозово) 76465
Losinoostrovsky (Лосиноостровский) 72640
Marfino (Марфино) 23971
Maryina roshcha (Марьина Роща) 60194
Ostankinsky (Останкинский) 57707
Otradnoye (Отрадное) 168972
Rostokino (Ростокино) 35134
Severnoye Medvedkovo (Северное Медведково) 111804
Severny (Северный) 9629 
Sviblovo (Свиблово) 52824
Yaroslavsky (Ярославский) 84739
Yuzhnoye Medvedkovo (Южное Медведково) 72716
Bogorodskoye (Богородское) 98602
Golyanovo (Гольяново) 159147
Ivanovskoye (Ивановское)127905
Izmaylovo (Измайлово)110099
Kosino-Ukhtomsky (Косино-Ухтомский)16917
Metrogorodok (Метрогородок)37283
Novogireyevo (Новогиреево)95183
Novokosino (Новокосино)97927
Perovo (Перово)135095
Preobrazhenskoye (Преображенское)80827
Severnoye Izmaylovo (Северное Измайлово)80785
Sokolinaya gora (Соколиная Гора)85056
Sokolniki (Сокольники)54975
Veshnyaki (Вешняки)126546
Vostochnoye Izmaylovo (Восточное Измайлово)75450
Vostochny (Восточный)12700
Kapotnya (Капотня)27828
Kuzminki (Кузьминки)122951
Lefortovo (Лефортово)87560
Lyublino (Люблино)132331
Maryino (Марьино)206388
Nekrasovka (Некрасовка)7803
Nizhegorodsky (Нижегородский)38756
Pechatniki (Печатники)71383
Ryazansky (Рязанский)89270
Tekstilshchiki (Текстильщики)87849
Vykhino-Zhulebino (Выхино-Жулебино)184749
Yuzhnoportovy (Южнопортовый)60056
Biryulyovo Vostochnoye (Бирюлёво Восточное)129700
Biryulyovo Zapadnoye (Бирюлёво Западное)83303
Brateyevo (Братеево)94644
Chertanovo Severnoye (Чертаново Северное)104613
Chertanovo Tsentralnoye (Чертаново Центральное)104042
Chertanovo Yuzhnoye (Чертаново Южное)133008
Danilovsky (Даниловский)90265
Donskoy (Донской)45477
Moskvorechye-Saburovo (Москворечье-Сабурово)67257
Nagatino-Sadovniki (Нагатино-Садовники)69031
Nagatinsky zaton (Нагатинский Затон)10594
Nagorny (Нагорный)69535
Orekhovo-Borisovo Severnoye (Орехово-Борисово Северное)121402
Orekhovo-Borisovo Yuzhnoye (Орехово-Борисово Южное)137965
Tsaritsyno (Царицыно)115708
Zyablikovo (Зябликово)121197
Akademichesky (Академический)96172
Cheryomushki (Черёмушки)89264
Gagarinsky (Гагаринский)72072
Konkovo (Коньково)138757
Kotlovka (Котловка)58666
Lomonosovsky (Ломоносовский)81851
Obruchevsky (Обручевский)63484
Severnoye Butovo (Северное Бутово)75045
Tyoply Stan (Тёплый Стан)112733
Yasenevo (Ясенево)174236
Yuzhnoye Butovo (Южное Бутово)105212
Zyuzino (Зюзино)111719
Dorogomilovo (Дорогомилово)59732
Filyovsky park (Филёвский Парк)66775
Fili-Davydkovo (Фили-Давыдково)92965
Krylatskoye (Крылатское)76261
Kuntsevo (Кунцево)125100
Mozhaysky (Можайский)109248
Novo-Peredelkino (Ново-Переделкино)86755
Ochakovo-Matveyevskoye (Очаково-Матвеевское)90576
Prospekt Vernadskogo (Проспект Вернадского)56564
Ramenki (Раменки)101485
Solntsevo (Солнцево)85642
Troparyovo-Nikulino (Тропарёво-Никулино)77901
Khoroshyovo-Mnyovniki (Хорошёво-Мнёвники)146968
Kurkino (Куркино)2339
Mitino (Митино)138371
Pokrovskoye-Streshnevo (Покровское-Стрешнево)46707
Severnoe Tushino (Северное Тушино)138533
Shchukino (Щукино)89454
Strogino (Строгино)124149
Yuzhnoye Tushino (Южное Тушино)93444
